product,vendor,edition,morefields
add-edit-delete-listing-for-member-module,add-edit-delete-listing-for-member-module_project,*,*
add_clicking_mlm_software,mlmsoftwarez,*,*
add_from_server,add_from_server_project,*,*
add_link_to_facebook,add_link_to_facebook_project,*,*
add_sidebar,add_sidebar_project,*,*
add_social_share_messenger_buttons_whatsapp_and_viber,multidots,*,*
additional_variation_images_for_woocommerce,getwooplugins,*,*
addons,themerex,*,*
addons_for_elementor,livemeshelementor,*,*
addons_module,digium,*,*
address_selection_tool,flets,*,*
addressable,addressable_project,*,*
addthis,addthis,*,*
addtoany_share_buttons,addtoany,*,*
adguard_home,adguard,*,*
adhouma_cms,adhouma_cms_project,*,*
aditustoken,aditustoken_project,*,*
adive,schben,*,*
adm,asustor,*,*
adm-zip,adm-zip_project,*,*
admanager_plus,manageengine,*,*
admidio,admidio,*,*
admin-font-editor,admin-font-editor_project,*,*
admin-renamer-extended,mijnpress,*,*
admin_by_request,fasttracksoftware,*,*
admin_columns,admincolumns,*,free
admin_columns,admincolumns,*,*
admin_columns,admincolumns,*,pro
admin_console,entando,*,*
admin_custom_login,weblizar,*,*
admin_management_xtended,admin_management_xtended_project,*,*
admin_menu,admin_menu_project,*,*
admin_notes,admin_notes_project,*,*
adminbundle,pimcore,*,*
adminer,adminer,*,*
adminer,docker,*,*
administrate,thoughtbot,*,*
administrative_tools_for_intel_network_adapters,intel,*,*
administrator,tibco,*,enterprise
adminpanel,adminpanel_project,*,*
adns,gnu,*,*
adobe_commerce,adobe,*,*
adobe_reader,adobe,*,*
adodb,adodb_project,*,*
adplug,adplug_project,*,*
adrenalin,myadrenalin,*,*
adrotate,ajdg,*,*
adrotate,ajdg,*,pro
adsense-click-fraud-monitoring,clickfraud-monitoring,*,*
adtensor,adtensor_project,*,*
adult_filter,armcode,*,*
adultscriptpro,adultscriptpro,*,*
adups_fota,adups,*,*
advance_b2b_script,advance_b2b_script_project,*,*
advance_crowdfunding_script,advance_crowdfunding_script_project,*,*
advance_online_learning_management_script,advance_online_learning_management_script_project,*,*
advance_peer_to_peer_mlm_script,advance_peer_to_peer_mlm_script_project,*,*
advance_search,advance_search_project,*,*
advance_search_for_woocommerce,multidots,*,*
advance_steel,autodesk,*,*
advancecomp,advancemame,*,*
advanced_access_manager,advanced_access_manager_project,*,*
advanced_ajax_page_loader,advanced_ajax_page_loader_project,*,*
advanced_bash-scripting_guide,tldp,*,*
advanced_booking_calendar,elbtide,*,*
advanced_business_application_programming,sap,*,*
advanced_business_application_programming_platform,sap,*,*
advanced_business_application_programming_platform_kernel,sap,*,*
advanced_business_application_programming_platform_krnl32nuc,sap,*,*
advanced_business_application_programming_platform_krnl32uc,sap,*,*
advanced_business_application_programming_platform_krnl64nuc,sap,*,*
advanced_business_application_programming_platform_krnl64uc,sap,*,*
advanced_business_application_programming_server,sap,*,*
advanced_cf7_db,vsourz,*,*
advanced_cluster_management_for_kubernetes,redhat,*,*
advanced_collections,oracle,*,*
advanced_comment_system,advanced_comment_system_project,*,*
advanced_custom_fields,advancedcustomfields,*,*
advanced_custom_fields,advancedcustomfields,*,pro
advanced_database_cleaner,sigmaplugin,*,*
advanced_electron_forum,anelectron,*,*
advanced_electron_forums,anelectron,*,*
advanced_hrm,coderpixel,*,*
advanced_inbound_telephony,oracle,*,*
advanced_malware_protection,cisco,*,*
advanced_malware_protection_for_endpoints,cisco,*,*
